type,Majorana,J,time,Algorithmic error,Rotations,Number of qubits
qdrift,8,24,1,5e-05,112486.0,4
qdrift,14,24,1,5e-05,730308.0,7
qdrift,20,24,1,5e-05,2104050.0,10
qdrift,26,24,1,5e-05,4408202.0,13
qdrift,34,24,1,5e-05,9133692.0,17
qdrift,40,24,1,5e-05,14139801.0,20
qdrift,46,24,1,5e-05,20444620.0,23
qdrift,54,24,1,5e-05,31152536.0,27
qdrift,60,24,1,5e-05,41041544.0,30
qdrift,66,24,1,5e-05,52571958.0,33
qdrift,74,24,1,5e-05,70739398.0,37
qdrift,80,24,1,5e-05,86488378.0,40
qdrift,86,24,1,5e-05,104164125.0,43
qdrift,94,24,1,5e-05,130854698.0,47
qdrift,100,24,1,5e-05,153306856.0,50
qdrift,106,24,1,5e-05,177972659.0,53
qdrift,112,24,1,5e-05,204863232.0,56
qdrift,120,24,1,5e-05,244307320.0,60
qdrift,126,24,1,5e-05,276649243.0,63
qdrift,132,24,1,5e-05,311450733.0,66
qdrift,140,24,1,5e-05,361761297.0,70
qdrift,146,24,1,5e-05,402505852.0,73
qdrift,152,24,1,5e-05,445881432.0,76
qdrift,160,24,1,5e-05,507955730.0,80
qdrift,166,24,1,5e-05,557696887.0,83
qdrift,172,24,1,5e-05,610205521.0,86
qdrift,180,24,1,5e-05,684669707.0,90
qdrift,186,24,1,5e-05,743967455.0,93
qdrift,192,24,1,5e-05,806233572.0,96
qdrift,200,24,1,5e-05,893971812.0,100
